time_h,rep,od620,pH
-1,bio1,6.55,NA
-1,bio2,6.46,NA
-1,bio3,6.55,NA
-1,bio4,6.64,NA
0,bio1,0.003,5.60
0,bio2,0.003,5.58
0,bio3,0.003,5.57
0,bio4,0.003,5.57
1,bio1,0.001,5.60
1,bio2,0.001,5.58
1,bio3,0.001,5.57
1,bio4,0.001,5.58
2,bio1,0.001,5.60
2,bio2,0.001,5.58
2,bio3,0.001,5.58
2,bio4,0.001,5.57
3,bio1,0.007,5.62
3,bio2,0.004,5.60
3,bio3,0.004,5.61
3,bio4,0.006,5.61
4,bio1,0.039,5.72
4,bio2,0.02,5.66
4,bio3,0.03,5.68
4,bio4,0.03,5.69
5,bio1,0.052,5.82
5,bio2,0.042,5.76
5,bio3,0.044,5.77
5,bio4,0.046,5.77
6,bio1,0.092,6.01
6,bio2,0.073,5.93
6,bio3,0.089,5.98
6,bio4,0.079,5.95
7,bio1,0.186,6.35
7,bio2,0.146,6.21
7,bio3,0.155,6.28
7,bio4,0.162,6.29
8,bio1,0.365,6.75
8,bio2,0.313,6.65
8,bio3,0.343,6.73
8,bio4,0.339,6.69
9,bio1,0.966,7.15
9,bio2,0.712,7.00
9,bio3,0.852,7.03
9,bio4,0.91,7.07
24,bio1,3.25,7.24
24,bio2,3.26,7.23
24,bio3,3.44,7.24
24,bio4,3.7,7.24
